,inference_id,split_layer,total_inference_time_ns
0,005fd721-27c5-45e9-b476-272bc798dcf0,8,100522344
1,00d4fb34-b556-4358-b67a-0ab5a5c71f78,4,83843331
2,01553179-7b40-49a0-b6f5-a2aab24889ac,10,114826684
3,0186ecdc-b36c-4cb5-b304-b070211da9cd,18,209788571
4,025136ed-fdb9-441a-ae95-1d3b7df34bdd,17,209712344
5,05e70e17-ba6e-4879-9c71-45faab15a043,15,133289295
6,06972fcc-5dcb-41d5-b171-dd00b10907cd,1,90037474
7,06c49a44-0a2b-4102-b13b-2599d43623b9,14,129849143
8,06f7409a-f711-40af-b57e-7339fa02b380,9,110913624
9,06fb56e1-58e0-49dd-a409-e5e678ae7baa,2,71234339
10,076f6fe0-1ea2-4c7c-989a-3f7032cd00d3,10,126525957
11,0927ece7-6879-4399-930a-ed0c73354468,11,123493100
12,0b2fa135-3b6d-4575-ba95-f38e580359aa,9,125016411
13,0be7f6c3-0a81-4c61-99c8-d3872fa3bf66,17,209096861
14,0bf587dc-b2fc-4703-a1ea-6a9f116bbf1b,12,127083349
15,0c8731e3-0b29-47c2-98aa-8a0b7279c574,9,112085970
16,0d8eb75a-ac85-44ee-a42e-391284e922e4,11,124971900
17,0dbf84a5-3714-468b-81c0-5cddb2ff0488,9,111043104
18,10c2d9cc-be22-44cb-9449-453e30ea5ddc,9,129921947
19,127e4103-0822-4763-865e-7ba8a37d53af,19,269312469
20,13905c2c-a59c-4ce3-8e9a-697faf0a97df,2,111362791
21,1462bf90-0446-4568-bbb2-25716692f4dd,6,117056621
22,14d216c7-d5fc-4bd8-873e-09e4217f1985,3,67011182
23,15231f5c-3cfa-44ee-81e5-dbef10098dd7,6,91546364
24,15f76582-9306-4f96-baf0-5c3beb86770a,2,70667875
25,1761dc4f-74df-400f-b8e8-c7154ec7f403,11,123459215
26,1b745598-c499-4a44-8154-e93b9aa880c4,13,134566535
27,1c6be75c-0fca-4ac9-80ef-618fba7695c1,5,86338792
28,1df37cb7-3619-4a90-8219-90eb92958e89,10,114277066
29,1e290b7a-499f-4b90-b98b-2e741aae8bd4,16,211526349
30,1eb67dee-6394-4280-a87c-8fc001111621,13,128124337
31,1f263349-8f66-4a0c-bf1e-22361d344579,11,122755276
32,202f0ff3-869d-4ac5-93f6-9cf322eef1fe,9,112411396
33,21ef5dda-7b4e-43a7-a998-7017869cd0ae,1,124027212
34,2304bc0f-32a9-4865-bc5b-b0f380ce196a,2,64197108
35,23f9edc6-2b12-41a6-bf83-4759ef466733,16,211155460
36,25d4f014-6da4-45bf-b081-7630c980dc50,15,129385409
37,2a0d0559-3770-43ee-9140-1d6d594bf592,7,97167071
38,2b11bf9d-f1e1-4793-a032-66f6680fe22e,7,97743852
39,2d4c9e42-1b97-4722-965f-b6b8e5edd4f1,4,112976793
40,2eca999c-a30d-4a6a-a0d0-efbd2e224624,17,210724962
41,332d1f0e-7313-47dd-bd6c-67f07246af03,16,215547043
42,37563380-1ea4-4f77-a974-c5ce0c2821c8,10,124600085
43,3890f23d-aa9f-40ba-ae4e-ce6946eb23b7,8,122196778
44,3961aeba-2be1-4a27-99e9-7e0ac349c2e9,4,82884722
45,39f6e7ea-97fa-49b8-835e-cfb6087e7df7,10,115749574
46,3a1b39bc-fac6-45e4-9458-b9526fd0d5cb,1,96883617
47,3a902f4f-10e6-4d1b-a7f0-40ecf03c3e88,8,101104033
48,3aa9bce8-859a-432d-a900-a2a9350d9733,6,108285512
49,408595b3-6237-4a0f-9f5d-4ed8bb210ed3,3,67211767
50,433d096c-7cf4-4c56-8c4b-2d0733c87de7,15,131990691
51,43b2d522-8a1a-42d8-a0cc-253845dec9ea,4,86740737
52,45cc0146-0515-4856-8a62-803524a03901,3,73644896
53,466b83c4-fa09-4bc8-bee7-457a42580219,14,133666587
54,48525cce-768c-480f-93c6-f268caee160b,13,129961000
55,49e1bdd7-0af8-4f98-8205-e0c44b48aa68,12,127509496
56,4e480e2e-0552-4ef6-8a7a-ecf45a7e8ad3,3,107533449
57,4eb3a246-641a-468d-bf4e-9beb29d88278,17,210758090
58,507102be-8f69-4018-aca1-1c4122d4f1a2,19,270842926
59,53eb200a-7703-4642-a965-3a9ad77de4ba,2,69010201
60,543a00f9-3c4e-427a-aebe-097a0d186a20,10,115036088
61,54f8b7e0-51f5-48c8-9e45-86d13685f1b1,19,270423121
62,557536f7-729c-454c-b573-266d2390f312,16,209951007
63,5597350b-13d8-4135-a826-0c8b48abf1e3,15,131464963
64,56614d28-17d4-442e-89d2-8f287a0e15c4,3,67470806
65,5776d94a-e8c1-4264-aeaf-bae2409f63a9,5,114489400
66,57d9f975-be71-469e-93ec-88e388573bdb,12,125652821
67,580ae177-5976-4d30-8f73-b7817fa6c1a3,5,85617244
68,58eee3e4-3eb2-48ff-b6ea-d2ee50ce65e1,12,125694879
69,58ff3df7-b489-4056-bb15-29a3c782eca1,3,67477212
70,591d434d-fb6e-4648-bc1b-e8fcdea83cb0,18,210624900
71,59ea918b-c845-4e07-8456-c3d6e1dd3154,1,149348240
72,5a518370-22be-4ea2-a03d-4175277c3ff6,18,210446691
73,5c3b798d-022f-484e-9ce3-c85fffb8b75a,13,128719035
74,5ddd53f3-d507-451e-a3ef-2f4b491b3c8d,8,104606295
75,5e9af917-3b5e-4430-b671-c4d2ab3ab30f,14,131338291
76,60490dee-339f-47e6-878a-e55f85c580f2,11,130474099
77,60681090-2ae3-4ba0-89ec-aecd9e5969dd,3,67044231
78,611fcaff-0dce-4de7-9350-6ca8d3058673,1,69140030
79,629e35ea-b003-42c7-89d9-1b4efe368dd3,13,129706361
80,62f08e3e-98f3-4788-bcd8-6d8b074ff8c5,18,209949593
81,63929e12-ad3b-48f6-869a-c7858a0ad844,7,96677454
82,64b1a1fb-5b68-4274-8e89-a10eb9569569,11,122871791
83,677cd3b0-c23f-4a61-bb10-c3d295418888,5,86210145
84,6973f0cc-d0b7-408f-ac55-da53845bd74e,17,212699088
85,6a9fd573-999f-48e7-9ef4-8b67d8f16bc7,14,131853147
86,6bebfe5c-b719-44c8-8a2d-b31d5ee9e66b,18,213035807
87,6c2662b1-41dc-41fd-8b8b-fe31b8f36ae0,4,84696983
88,6e9fa8b9-d5f1-4c5d-8dfa-1501936b6d34,6,92205469
89,6f390100-6e76-4428-9143-a3cf6f628c95,2,69648318
90,6f8649aa-fb2e-42b2-80c0-9c479b311fd0,7,119317170
91,6fa22e46-ff09-49ce-b388-70c5b07a9177,17,210324421
92,707bbabf-9824-412f-a315-11ae36f18347,16,209592989
93,73a5a00e-4e89-48ad-aa03-a0936ea78906,17,210071755
94,747d0d2b-faab-4a75-acfb-e2c9f00771c6,5,88762384
95,76a7ed39-8add-4e44-b1b8-e8d7af51faff,16,211493258
96,7757396d-c615-4f3f-b466-13faf6cad6c7,13,129822880
97,777d8e28-3aec-40e5-a9f5-bda2901be854,18,210153332
98,77970f42-ffd0-4ac9-a0cc-4b245500fca4,15,129677728
99,7abf163e-94e2-4758-b744-f6e5d7790572,9,164491809
100,7b9f5a5c-06d3-4f73-ac2f-cfd7688d6673,14,131454310
101,7cc8ae11-777f-414a-9376-241ae30d9a60,8,101050183
102,80f0c5d1-23d5-4dcb-8e6a-795dc97c2caa,1,132092996
103,8134f6b7-2894-41f6-8e1a-35c5a10ecefa,6,88821259
104,8302cf63-dd3b-4efc-9a81-d054d858e82a,11,122533745
105,830ca191-80be-4241-a873-02159967afa7,12,126735101
106,8330c37e-6b38-4abf-98ea-ff13d0f54a06,12,127314226
107,84d2e5fa-ec1f-400d-bcfe-5ae9f408b1ec,19,269669740
108,8a951f44-5e3a-4728-b00e-e92b64e71eef,17,210380502
109,8c20ff87-be3b-4c8f-a6b7-18365aff0f20,4,83271902
110,8ee4e2fe-42e2-4b3e-b144-43454b8b927a,13,129597795
111,8f681c28-702e-491d-bb3a-f89367914a01,11,123237448
112,8f975713-5ceb-4cfd-9877-276c6ab217d2,4,90928575
113,90d67596-3fb2-4b3e-bd56-ca88c449ae6d,18,210148797
114,930187e8-7546-4c55-af20-71f602e1c397,19,270179707
115,944e0db4-9f8e-43af-bb3d-576006264d0d,6,90123442
116,94c070d6-0fbc-4c6d-9154-9185d29df7bb,6,117020761
117,94f75976-5947-49cf-a14d-ac1eee9445de,15,130044581
118,95df37a4-a713-498a-82a7-77b4e0aa8351,10,114830934
119,9bcfe4ba-4435-42bf-aa43-b80fe246f3f3,9,110491709
120,9c74ce30-f655-4cd8-894e-244f17aaa32d,16,210922443
121,9eddd172-f32c-485f-acff-0afc4b4b547e,4,82991712
122,9f147634-0175-4b1b-9684-821a2b9545e6,16,211001429
123,a0eed3f6-234e-4362-af7b-de97735019e9,1,108234462
124,a5ab92e4-bbc3-4f44-a69e-8d227d884522,13,130316080
125,a5f223f6-01c1-4d4c-8e34-6d3c690bbb9f,4,82779036
126,a94f461d-6f25-4328-bf7c-96d2a64a6d00,5,86863913
127,aa3985d6-83af-44d0-953e-35e432f30281,3,67211709
128,aa6de144-6ef5-4843-acaf-b827008c9291,10,115749582
129,aa862e7e-84d0-4a63-a955-ff7ed57f1843,13,129017873
130,aad37ca7-3828-4009-8b13-0756e42ade19,16,209156303
131,ab9e602e-362c-4bc6-ab2b-87de8bc18a36,14,132113847
132,ad1263f8-104c-45b1-8ab7-6e6c8b88ea9a,3,113260583
133,af5a5668-b165-4410-bbec-54d848330269,14,129566564
134,afea484f-82b4-4c24-9bc1-1f9342fe8b62,17,210576281
135,b155e703-f178-496f-aa39-10dd0aa92152,12,132072619
136,b392d549-2eab-4a01-a0e2-3ed931760489,6,88358789
137,b50cefe5-3cd8-41c5-b7aa-18c914f2d705,8,121693392
138,b52361bd-3a86-4b00-a7a0-3fd294ced052,15,132459914
139,b55e2470-4a72-43e3-afec-5a4a3015573d,8,102957024
140,b929b3de-102c-466d-8ec9-58a378165bc0,13,129254893
141,ba9b7dc3-4db7-44ba-9251-3d038ebced6f,5,88934215
142,bafa58bc-625f-4c82-ba69-2746030ff27c,14,131035099
143,bb3423ff-9936-453f-8135-a573638c758c,17,209265013
144,be88bdf6-68fb-4c08-9f32-36e101152c24,10,115252608
145,c088410d-bf90-4f3c-8ff4-08001eb3a31e,5,88564811
146,c33d4e9c-de96-41f1-9394-c918e472eb93,5,88378039
147,c3f5af14-842c-43f1-acad-acebd1b3edb3,15,131590550
148,c841070f-4a71-488a-bdb3-b19f466347bd,19,270033886
149,c84f899f-3bb0-4441-981d-1a7082835813,7,96963574
150,c999aa20-5736-4351-8e4d-7868d09b38c5,1,99875667
151,cb135d73-4792-4a18-a1b7-ee2d648b1fb8,6,117462328
152,cc33fc53-8b70-4000-b547-6c80d322deb3,12,125978642
153,cdf9d6bd-bfd5-4c11-9fc0-0af74ecbeb87,18,209970250
154,d21ef1e2-2d75-4c54-847a-3c3197c6f05d,8,101202076
155,d2c76469-d0c0-4f73-bec2-1b77ab095425,4,112893236
156,d49d3fee-d2e8-4ff1-aa31-af02b871a396,16,211569654
157,d8ad41e3-4b3e-4405-8312-2a42ccde8896,2,71110569
158,d9f42256-5c30-4cd0-90f1-512fe6512cfa,7,97922531
159,da273f80-b721-472f-83d5-139ed36b004c,2,64889974
160,dc22d44d-ce42-483f-bbf0-d8387221ddc7,14,132101256
161,dd0d02c7-293b-4d4c-b06e-926b511a16cc,10,115047195
162,df7f1a24-77a0-4b66-8300-0fe8273aa602,1,79904805
163,e14e278e-b5f1-4dec-a0c6-d541742a0814,3,67598534
164,e2d87244-d135-4ad8-af71-179cedbd9872,19,269865970
165,e38d62ed-0260-4b66-a094-092b44f6e3b6,2,72047448
166,e3d217d5-9cfd-4247-9e7f-6421f2b8b5ac,12,127192276
167,e5a7883f-a3d3-4062-ae35-f6bacd1cbbf3,11,124456987
168,e5b6a2da-5e01-4821-bf8d-89ea864d4a00,1,87484396
169,e5d68a99-944d-412c-8841-4c361820041d,7,119331508
170,e5e50a95-9541-495e-8dbe-c5eb722c93c8,7,119073229
171,e7ba0641-c633-4c13-82bd-6341598613e9,14,133813323
172,e8635eb7-7ffa-4c3b-88c1-ec9f86fb9df8,9,111324742
173,ebe623f2-b373-40b0-a815-7eeb47b0287f,18,210147111
174,ed69b5ae-3e89-40ac-b41f-d9eb3433ab6c,19,269908942
175,ee40e7a3-0374-48ba-bf3a-4d65ba86c3c9,18,210047717
176,f07cf560-eb0f-4ea2-b6b3-e8d37dee6906,12,127763194
177,f1238907-576f-42ea-a16c-3bb2d5dd0dc0,19,269024074
178,f196e5fa-11e2-4dfc-bf5a-b8cc6bd1e911,8,103497788
179,f1e498c9-048c-480d-8bc2-915dbaf38c63,5,89930165
180,f2cd1d8d-2081-42d5-9a58-9972054e3248,7,125743970
181,f420dc51-1446-4898-9f50-0e48fa286419,9,114533369
182,f4580a9d-3c98-4d6b-a62c-bbbdf2571066,2,110807918
183,f52313a4-cc32-427c-8943-c4804a905bea,19,271188628
184,f74b5c36-d99b-4349-839f-b28704f17ccc,6,90495370
185,f8eb89c5-2836-46d8-8951-fb8bab1bca13,8,123065910
186,fc6eb658-2573-44d6-bfc2-416f04f655a2,11,122487539
187,fd75a1e5-6c4e-42b0-9106-be5a67ba49d6,7,97872863
188,fe440485-9e1c-4391-8641-a61913ce0cf1,15,132602605
189,feac47ea-e136-4242-a6c5-f52a2622f697,15,131739361
